"","Port","Quarter","Vessel Rate","Crane Rate","Ship Rate","Containers"
"380","Otago","2010 Q3","51.94","29.6","55.73","31800"
"381","Auckland","2010 Q2","49.71","25.35","54.61","130793"
"382","Tauranga","2010 Q2","51.62","33.7","61.67","93552"
"383","Napier","2010 Q2","33.59","22.19","44.53","37048"
"384","Wellington","2010 Q2","39.03","30.1","49.03","19167"
"385","Lyttelton","2010 Q2","44.4","28.6","55.8","48233"
"386","Otago","2010 Q2","53.8","29.1","56.35","42728"
"387","Auckland","2010 Q1","47.37","24.91","49.55","131578"
"388","Tauranga","2010 Q1","58.3","36.25","69.6","74354"
"389","Napier","2010 Q1","34.86","22.97","45.3","32337"
"390","Wellington","2010 Q1","35.93","28.63","44.4","15660"
"391","Lyttelton","2010 Q1","41.8","29","52.5","43223"
"392","Otago","2010 Q1","51.03","29","56.62","41328"
"393","Auckland","2009 Q4","50.97","25.6","54.09","144353"
"394","Tauranga","2009 Q4","56.94","35.3","69.34","75495"
"395","Napier","2009 Q4","34.6","23.25","46.94","21573"
"396","Wellington","2009 Q4","36.93","28.6","47.2","17372"
"397","Lyttelton","2009 Q4","41.2","27.2","51.7","45920"
"398","Otago","2009 Q4","49.04","27.1","56.02","40363"
"399","Auckland","2009 Q3","51.09","26.15","54.17","128409"
"400","Tauranga","2009 Q3","49.39","34.1","60.35","69735"
"401","Napier","2009 Q3","33.18","24.05","46.88","19768"
"402","Wellington","2009 Q3","35.6","28.73","42.53","15593"
"403","Lyttelton","2009 Q3","41.3","29.3","52.6","40231"
"404","Otago","2009 Q3","44.94","26.91","53.82","35254"
"405","Auckland","2009 Q2","51.47","27.46","56.29","118400"
"406","Tauranga","2009 Q2","47.35","35.41","61.96","87688"
"407","Napier","2009 Q2","32.67","22.33","43.85","32498"
"408","Wellington","2009 Q2","30.9","26.13","37.17","13794"
"409","Lyttelton","2009 Q2","40.1","28","51.3","43736"
"410","Otago","2009 Q2","46.44","25.83","53.38","46129"
"411","Auckland","2009 Q1","51.41","27.49","55.87","120839"
"412","Tauranga","2009 Q1","51.14","35.57","63.37","70165"
"413","Napier","2009 Q1","34.94","24.08","47.01","27427"
"414","Wellington","2009 Q1","34.63","28.5","40.77","12112"
"415","Lyttelton","2009 Q1","39.8","27.9","49.7","39147"
"416","Otago","2009 Q1","44.44","25.63","52.44","40717"
